Weapon (Click for note),Right - 1H Light #1,Right - 1H Light #2,Right - 1H Heavy #1,Right - 1H Heavy #2,Right - 1H Light Running,Right - 1H Light Rolling,Right - 1H Light Backstep,Right - 1H Falling,Right - 1H Landing,Right - 1H Jumping,2H Light #1,2H Light #2,2H Heavy #1,2H Heavy #2,Right - 2H Light Running,Right - 2H Light Rolling,Right - 2H Light Backstep,Right - 2H Falling,Right - 2H Landing,Right - 2H Jumping,Chain 1 #1,Chain 1 #2,Chain 2 #1,Chain 2 #2,Chain Running,Chain Rolling,Chain Backstep,Chain Falling,Chain Landing,Chain Jumping,Right - Powerstance - Light #1,Right - Powerstance - Light #2,Right - Powerstance - Heavy #1,Right - Powerstance - Heavy #2,Right - Powerstance - Light Running,Right - Powerstance - Light Rolling,Right - Powerstance - Light Backstep,Right - Powerstance - Falling,Right - Powerstance - Landing,Right - Powerstance - Jumping,Left - 1H Light #1,Left - 1H Light #2,Left - 1H Heavy #1,Left - 1H Heavy #2,Left - 1H Light Running,Left - 1H Light Rolling,Left - 1H Light Backstep,Left - 1H Falling,Left - 1H Landing,Left - 1H Jumping,Left - 2H Light,Left - 2H Heavy,Left - Powerstance - Light #1,Left - Powerstance - Light #2,Left - Powerstance - Heavy,Guard Break #1,Guard Break #2,Shield Poke 1 #1,Shield Poke 1 #2,Shield Poke 2 #1,Shield Poke 2 #2,Riposte,Guard Break Stab,Backstab
Heide Knight Sword,21.57,23.84,31.78,32.92,17.03,17.03,17.03,37.46,37.46,37.46,26.94,29.78,39.73,41.13,21.27,21.27,21.27,46.81,46.81,46.81,30.19,33.37,44.49,46.08,23.84,23.84,23.84,52.44,52.44,52.44,21.57,23.84,31.78,32.92,17.03,17.03,17.03,37.46,37.46,37.46,23.29,25.74,34.32,35.55,18.39,18.39,18.39,40.45,40.45,40.45,29.10,32.17,23.29,25.74,34.32,17.25,17.25,28.03,30.99,41.31,42.79,22.70,22.70,22.70
Heide Lance,29.93,33.08,44.10,45.68,25.52,23.63,23.63,51.98,51.98,51.98,37.39,41.33,55.13,57.08,31.88,29.52,29.52,64.95,64.95,64.95,41.90,46.31,61.74,63.95,35.72,33.08,33.08,72.77,72.77,72.77,29.93,33.08,44.10,45.68,25.52,23.63,23.63,51.98,51.98,51.98,32.32,35.72,47.63,49.33,27.53,25.52,25.52,56.13,56.13,56.13,40.38,44.64,32.32,35.72,47.63,23.94,23.94,38.90,43.00,57.33,59.38,31.50,31.50,31.50
Heide Spear,24.61,27.20,36.26,37.56,19.43,19.43,19.43,42.74,42.74,42.74,30.74,33.98,45.33,46.93,24.27,24.27,24.27,53.41,53.41,53.41,34.45,38.07,50.76,52.58,27.20,27.20,27.20,59.83,59.83,59.83,24.61,27.20,36.26,37.56,19.43,19.43,19.43,42.74,42.74,42.74,26.57,29.37,39.16,40.56,20.98,20.98,20.98,46.15,46.15,46.15,33.20,36.70,26.57,29.37,39.16,19.68,19.68,31.99,35.35,47.14,48.82,25.90,25.90,25.90
Helix Halberd,26.98,29.82,39.76,41.18,21.30,21.30,21.30,46.86,46.86,46.86,33.71,37.26,49.70,51.46,26.61,26.61,26.61,58.56,58.56,58.56,37.77,41.75,55.66,57.65,29.82,29.82,29.82,65.60,65.60,65.60,26.98,29.82,39.76,41.18,21.30,21.30,21.30,46.86,46.86,46.86,29.14,32.21,42.94,44.47,23.00,23.00,23.00,50.61,50.61,50.61,36.41,40.24,29.14,32.21,42.94,21.58,21.58,35.07,38.77,51.69,53.53,28.40,28.40,28.40
Hollow Soldier Shield,20.05,22.16,29.54,30.60,15.83,15.83,15.83,34.82,34.82,34.82,25.05,27.68,36.93,38.23,19.77,19.77,19.77,43.51,43.51,43.51,28.06,31.02,41.36,42.83,22.16,22.16,22.16,48.74,48.74,48.74,20.05,22.16,29.54,30.60,15.83,15.83,15.83,34.82,34.82,34.82,21.65,23.93,31.90,33.04,17.09,17.09,17.09,37.60,37.60,37.60,27.05,29.90,21.65,23.93,31.90,16.04,16.04,26.06,28.80,38.40,39.77,21.10,21.10,21.10
Homunculus Mace,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,28.84,31.88,42.53,44.03,22.77,22.77,22.77,50.11,50.11,50.11,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,24.93,27.56,36.74,38.05,19.68,19.68,19.68,43.30,43.30,43.30,31.15,34.43,24.93,27.56,36.74,18.47,18.47,30.01,33.17,44.23,45.81,24.30,24.30,24.30
Homunculus Wooden Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Hunter's Blackbow,31.07,34.34,45.78,47.42,13.88,13.88,13.88,30.53,30.53,30.53,38.81,42.90,57.23,59.25,17.33,17.33,17.33,38.15,38.15,38.15,24.61,27.20,36.26,37.56,19.43,19.43,19.43,42.74,42.74,42.74,17.58,19.43,25.90,26.83,13.88,13.88,13.88,30.53,30.53,30.53,33.55,37.08,49.44,51.21,14.99,14.99,14.99,32.97,32.97,32.97,23.72,26.21,18.98,20.98,27.97,14.06,14.06,22.85,25.25,33.67,34.87,18.50,18.50,18.50
Ice Rapier,20.05,22.16,29.54,30.60,15.83,15.83,15.83,34.82,34.82,34.82,25.05,27.68,36.93,38.23,19.77,19.77,19.77,43.51,43.51,43.51,28.06,31.02,41.36,42.83,22.16,22.16,22.16,48.74,48.74,48.74,20.05,22.16,29.54,30.60,15.83,15.83,15.83,34.82,34.82,34.82,21.65,23.93,31.90,33.04,17.09,17.09,17.09,37.60,37.60,37.60,27.05,29.90,21.65,23.93,31.90,16.04,16.04,26.06,28.80,38.40,39.77,21.10,21.10,21.10
Idol's Chime,27.74,30.66,28.84,29.87,15.45,15.45,15.45,33.99,33.99,33.99,34.66,38.31,36.05,37.33,19.30,19.30,19.30,42.48,42.48,42.48,27.40,30.28,40.38,41.82,21.63,21.63,21.63,47.59,47.59,47.59,19.57,21.63,28.84,29.87,15.45,15.45,15.45,33.99,33.99,33.99,29.96,33.11,31.15,32.26,16.69,16.69,16.69,36.71,36.71,36.71,26.41,29.19,21.14,23.36,31.15,15.66,15.66,25.44,28.12,37.49,38.83,20.60,20.60,20.60
Infantry Axe,19.00,21.00,28.00,29.00,15.00,15.00,15.00,33.00,33.00,33.00,23.74,26.24,35.00,36.24,18.74,18.74,18.74,41.24,41.24,41.24,26.60,29.40,39.20,40.60,21.00,21.00,21.00,46.20,46.20,46.20,19.00,21.00,28.00,29.00,15.00,15.00,15.00,33.00,33.00,33.00,20.52,22.68,30.24,31.32,16.20,16.20,16.20,35.64,35.64,35.64,25.64,28.34,20.52,22.68,30.24,15.20,15.20,24.70,27.30,36.40,37.70,20.00,20.00,20.00
Iron King Hammer,29.55,32.66,43.54,45.10,23.33,23.33,23.33,51.32,51.32,51.32,36.92,40.80,54.43,56.35,29.14,29.14,29.14,64.13,64.13,64.13,41.36,45.72,60.96,63.13,32.66,32.66,32.66,71.84,71.84,71.84,29.55,32.66,43.54,45.10,23.33,23.33,23.33,51.32,51.32,51.32,31.91,35.27,47.02,48.70,25.19,25.19,25.19,55.42,55.42,55.42,39.87,44.07,31.91,35.27,47.02,23.64,23.64,38.41,42.45,56.60,58.62,31.10,31.10,31.10
Iron Parma,15.96,17.64,23.52,24.36,12.60,12.60,12.60,27.72,27.72,27.72,19.94,22.04,29.40,30.44,15.74,15.74,15.74,34.64,34.64,34.64,22.34,24.70,32.93,34.10,17.64,17.64,17.64,38.81,38.81,38.81,15.96,17.64,23.52,24.36,12.60,12.60,12.60,27.72,27.72,27.72,17.24,19.05,25.40,26.31,13.61,13.61,13.61,29.94,29.94,29.94,21.54,23.81,17.24,19.05,25.40,12.77,12.77,20.75,22.93,30.58,31.67,16.80,16.80,16.80
Ivory King Ultra Greatsword,30.78,34.02,45.36,46.98,24.30,24.30,24.30,53.46,53.46,53.46,46.17,51.03,68.04,70.47,36.45,36.45,36.45,80.19,80.19,80.19,43.09,47.63,63.50,65.77,34.02,34.02,34.02,74.84,74.84,74.84,30.78,34.02,45.36,46.98,24.30,24.30,24.30,53.46,53.46,53.46,33.24,36.74,48.99,50.74,26.24,26.24,26.24,57.74,57.74,57.74,49.86,55.11,33.24,36.74,48.99,24.62,24.62,40.01,44.23,58.97,61.07,32.40,32.40,32.40
Ivory Straight Sword,32.87,36.33,48.44,50.17,25.95,25.95,25.95,57.09,57.09,57.09,41.07,45.40,121.10,125.39,32.42,32.42,32.42,71.35,71.35,71.35,46.02,50.86,67.82,70.24,36.33,36.33,36.33,79.93,79.93,79.93,32.87,36.33,48.44,50.17,25.95,25.95,25.95,57.09,57.09,57.09,35.50,39.24,52.32,54.18,28.03,28.03,28.03,61.66,61.66,61.66,44.36,49.03,35.50,39.24,52.32,26.30,26.30,42.73,47.23,62.97,65.22,34.60,34.60,34.60
Key to the Embedded,24.61,27.20,36.26,37.56,19.43,19.43,19.43,42.74,42.74,42.74,30.74,33.98,45.33,46.93,24.27,24.27,24.27,53.41,53.41,53.41,34.45,38.07,50.76,52.58,27.20,27.20,27.20,59.83,59.83,59.83,24.61,27.20,36.26,37.56,19.43,19.43,19.43,42.74,42.74,42.74,26.57,29.37,39.16,40.56,20.98,20.98,20.98,46.15,46.15,46.15,33.20,36.70,26.57,29.37,39.16,19.68,19.68,31.99,35.35,47.14,48.82,25.90,25.90,25.90
King's Mirror,26.70,29.51,39.34,40.75,21.08,21.08,21.08,46.37,46.37,46.37,33.35,36.87,49.18,50.92,26.33,26.33,26.33,57.94,57.94,57.94,37.37,41.31,55.08,57.04,29.51,29.51,29.51,64.91,64.91,64.91,26.70,29.51,39.34,40.75,21.08,21.08,21.08,46.37,46.37,46.37,28.83,31.87,42.49,44.00,22.76,22.76,22.76,50.07,50.07,50.07,36.02,39.82,28.83,31.87,42.49,21.36,21.36,34.70,38.36,51.14,52.97,28.10,28.10,28.10
King's Shield,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,28.84,31.88,42.53,44.03,22.77,22.77,22.77,50.11,50.11,50.11,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,24.93,27.56,36.74,38.05,19.68,19.68,19.68,43.30,43.30,43.30,31.15,34.43,24.93,27.56,36.74,18.47,18.47,30.01,33.17,44.23,45.81,24.30,24.30,24.30
King's Ultra Greatsword,34.77,38.43,51.24,53.07,27.45,27.45,27.45,60.39,60.39,60.39,43.44,48.02,64.05,66.32,34.29,34.29,34.29,75.47,75.47,75.47,48.68,53.80,71.74,74.30,38.43,38.43,38.43,84.55,84.55,84.55,34.77,38.43,51.24,53.07,27.45,27.45,27.45,60.39,60.39,60.39,37.55,41.50,55.34,57.32,29.65,29.65,29.65,65.22,65.22,65.22,46.92,51.86,37.55,41.50,55.34,27.82,27.82,45.20,49.96,66.61,68.99,36.60,36.60,36.60
Large Club,33.35,36.86,49.14,50.90,26.33,26.33,26.33,57.92,57.92,57.92,41.66,46.05,61.43,63.60,32.89,32.89,32.89,72.38,72.38,72.38,46.68,51.60,68.80,71.25,36.86,36.86,36.86,81.08,81.08,81.08,33.35,36.86,49.14,50.90,26.33,26.33,26.33,57.92,57.92,57.92,36.01,39.80,53.07,54.97,28.43,28.43,28.43,62.55,62.55,62.55,45.00,49.74,36.01,39.80,53.07,26.68,26.68,43.35,47.91,63.88,66.16,35.10,35.10,35.10
Large Leather Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Light Crossbow,38.95,43.05,57.40,59.45,13.80,13.80,13.80,30.36,30.36,30.36,48.67,53.79,71.75,74.29,17.24,17.24,17.24,37.94,37.94,37.94,24.47,27.05,36.06,37.35,19.32,19.32,19.32,42.50,42.50,42.50,17.48,19.32,25.76,26.68,13.80,13.80,13.80,30.36,30.36,30.36,42.07,46.49,61.99,64.21,14.90,14.90,14.90,32.79,32.79,32.79,23.59,26.07,18.88,20.87,27.82,13.98,13.98,22.72,25.12,33.49,34.68,18.40,18.40,18.40
Lion Clan Shield,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,26.59,29.39,39.20,40.59,20.99,20.99,20.99,46.19,46.19,46.19,29.79,32.93,43.90,45.47,23.52,23.52,23.52,51.74,51.74,51.74,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,22.98,25.40,33.87,35.08,18.14,18.14,18.14,39.92,39.92,39.92,28.72,31.74,22.98,25.40,33.87,17.02,17.02,27.66,30.58,40.77,42.22,22.40,22.40,22.40
Lion Greataxe,31.07,34.34,45.78,47.42,24.53,24.53,24.53,53.96,53.96,53.96,38.81,42.90,57.23,59.25,30.64,30.64,30.64,67.43,67.43,67.43,43.49,48.07,64.09,66.38,34.34,34.34,34.34,75.54,75.54,75.54,31.07,34.34,45.78,47.42,24.53,24.53,24.53,53.96,53.96,53.96,33.55,37.08,49.44,51.21,26.49,26.49,26.49,58.27,58.27,58.27,41.92,46.34,33.55,37.08,49.44,24.85,24.85,40.38,44.64,59.51,61.64,32.70,32.70,32.70
Lizard Staff,25.08,27.72,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,31.34,34.64,34.65,35.88,18.55,18.55,18.55,40.83,40.83,40.83,26.33,29.11,38.81,40.19,20.79,20.79,20.79,45.74,45.74,45.74,18.81,20.79,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,27.09,29.94,29.94,31.01,16.04,16.04,16.04,35.28,35.28,35.28,25.38,28.06,20.31,22.45,29.94,15.05,15.05,24.45,27.03,36.04,37.32,19.80,19.80,19.80
Llewellyn Shield,16.82,18.59,24.78,25.67,13.28,13.28,13.28,29.21,29.21,29.21,21.01,23.22,30.98,32.07,16.58,16.58,16.58,36.50,36.50,36.50,23.54,26.02,34.69,35.93,18.59,18.59,18.59,40.89,40.89,40.89,16.82,18.59,24.78,25.67,13.28,13.28,13.28,29.21,29.21,29.21,18.16,20.07,26.76,27.72,14.34,14.34,14.34,31.54,31.54,31.54,22.69,25.08,18.16,20.07,26.76,13.45,13.45,21.86,24.16,32.21,33.36,17.70,17.70,17.70
Long Bow,32.87,36.33,48.44,50.17,14.70,14.70,14.70,32.34,32.34,32.34,41.07,45.40,60.55,62.70,18.37,18.37,18.37,40.42,40.42,40.42,26.07,28.81,38.42,39.79,20.58,20.58,20.58,45.28,45.28,45.28,18.62,20.58,27.44,28.42,14.70,14.70,14.70,32.34,32.34,32.34,35.50,39.24,52.32,54.18,15.88,15.88,15.88,34.93,34.93,34.93,25.13,27.77,20.11,22.23,29.64,14.90,14.90,24.21,26.75,35.67,36.95,19.60,19.60,19.60
Longsword,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,24.93,27.55,36.75,38.05,19.68,19.68,19.68,43.30,43.30,43.30,27.93,30.87,41.16,42.63,22.05,22.05,22.05,48.51,48.51,48.51,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,21.55,23.81,31.75,32.89,17.01,17.01,17.01,37.42,37.42,37.42,26.92,29.76,21.55,23.81,31.75,15.96,15.96,25.94,28.67,38.22,39.59,21.00,21.00,21.00
Lost Sinner's Sword,28.88,31.92,42.56,44.08,22.80,22.80,22.80,50.16,50.16,50.16,36.08,39.88,53.20,55.08,28.48,28.48,28.48,62.68,62.68,62.68,40.43,44.69,59.58,61.71,31.92,31.92,31.92,70.22,70.22,70.22,28.88,31.92,42.56,44.08,22.80,22.80,22.80,50.16,50.16,50.16,31.19,34.47,45.96,47.61,24.62,24.62,24.62,54.17,54.17,54.17,38.97,43.08,31.19,34.47,45.96,23.10,23.10,37.54,41.50,55.33,57.30,30.40,30.40,30.40
Loyce Greatsword,24.99,27.62,36.82,38.14,19.73,19.73,19.73,43.40,43.40,43.40,31.22,34.51,46.03,47.66,24.64,24.64,24.64,54.23,54.23,54.23,34.98,38.66,51.55,53.39,27.62,27.62,27.62,60.75,60.75,60.75,24.99,27.62,36.82,38.14,19.73,19.73,19.73,43.40,43.40,43.40,26.98,29.82,39.77,41.19,21.30,21.30,21.30,46.87,46.87,46.87,33.72,37.27,26.98,29.82,39.77,19.99,19.99,32.48,35.90,47.87,49.58,26.30,26.30,26.30
Loyce Shield,21.76,24.05,32.06,33.21,17.18,17.18,17.18,37.79,37.79,37.79,27.18,30.04,40.08,41.49,21.46,21.46,21.46,47.22,47.22,47.22,30.46,33.66,44.88,46.49,24.05,24.05,24.05,52.90,52.90,52.90,21.76,24.05,32.06,33.21,17.18,17.18,17.18,37.79,37.79,37.79,23.50,25.97,34.62,35.86,18.55,18.55,18.55,40.81,40.81,40.81,29.36,32.45,23.50,25.97,34.62,17.40,17.40,28.28,31.26,41.68,43.17,22.90,22.90,22.90
Lucerne,28.31,31.29,41.72,43.21,22.35,22.35,22.35,49.17,49.17,49.17,35.37,39.10,52.15,54.00,27.92,27.92,27.92,61.45,61.45,61.45,39.63,43.81,58.41,60.49,31.29,31.29,31.29,68.84,68.84,68.84,28.31,31.29,41.72,43.21,22.35,22.35,22.35,49.17,49.17,49.17,30.57,33.79,45.06,46.67,24.14,24.14,24.14,53.10,53.10,53.10,38.20,42.23,30.57,33.79,45.06,22.65,22.65,36.80,40.68,54.24,56.17,29.80,29.80,29.80
Mace,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,28.84,31.88,42.53,44.03,22.77,22.77,22.77,50.11,50.11,50.11,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,24.93,27.56,36.74,38.05,19.68,19.68,19.68,43.30,43.30,43.30,31.15,34.43,24.93,27.56,36.74,18.47,18.47,30.01,33.17,44.23,45.81,24.30,24.30,24.30
Mace of the Insolent,20.62,22.79,33.88,35.09,16.28,16.28,16.28,35.81,35.81,35.81,25.76,28.47,42.35,43.85,20.33,20.33,20.33,44.75,44.75,44.75,28.86,31.90,42.53,44.05,22.79,22.79,22.79,50.13,50.13,50.13,20.62,22.79,30.38,31.47,16.28,16.28,16.28,35.81,35.81,35.81,22.26,24.61,36.59,37.90,17.58,17.58,17.58,38.67,38.67,38.67,27.82,30.75,22.26,24.61,32.81,16.49,16.49,26.80,29.62,39.49,40.90,21.70,21.70,21.70
Magic Shield,13.49,14.91,19.88,20.59,10.65,10.65,10.65,23.43,23.43,23.43,16.86,18.63,24.85,25.73,13.31,13.31,13.31,29.28,29.28,29.28,18.89,20.87,27.83,28.83,14.91,14.91,14.91,32.80,32.80,32.80,13.49,14.91,19.88,20.59,10.65,10.65,10.65,23.43,23.43,23.43,14.57,16.10,21.47,22.24,11.50,11.50,11.50,25.30,25.30,25.30,18.20,20.12,14.57,16.10,21.47,10.79,10.79,17.54,19.38,25.84,26.77,14.20,14.20,14.20
Mail Breaker,15.01,16.59,22.12,22.91,11.85,11.85,11.85,26.07,26.07,26.07,18.75,20.73,27.65,28.63,14.80,14.80,14.80,32.58,32.58,32.58,21.01,23.23,30.97,32.07,16.59,16.59,16.59,36.50,36.50,36.50,15.01,16.59,22.12,22.91,11.85,11.85,11.85,26.07,26.07,26.07,16.21,17.92,23.89,24.74,12.80,12.80,12.80,28.16,28.16,28.16,20.26,22.39,16.21,17.92,23.89,12.01,12.01,19.51,21.57,28.76,29.78,15.80,15.80,15.80
Majestic Greatsword L,32.49,35.91,47.88,49.59,25.65,25.65,25.65,56.43,56.43,56.43,40.60,44.87,59.85,61.97,32.05,32.05,32.05,70.52,70.52,70.52,45.49,50.27,67.03,69.43,35.91,35.91,35.91,79.00,79.00,79.00,32.49,35.91,47.88,49.59,25.65,25.65,25.65,56.43,56.43,56.43,30.03,33.21,44.29,45.86,23.70,23.70,23.70,52.19,52.19,52.19,37.52,83.00,30.03,33.21,29.53,25.99,25.99,42.24,46.68,62.24,64.47,34.20,34.20,34.20
Majestic Greatsword R,32.49,35.91,47.88,49.59,25.65,25.65,25.65,56.43,56.43,56.43,40.60,44.87,59.85,61.97,32.05,32.05,32.05,70.52,70.52,70.52,45.49,50.27,67.03,69.43,35.91,35.91,35.91,79.00,79.00,79.00,32.49,35.91,47.88,49.59,25.65,25.65,25.65,56.43,56.43,56.43,35.09,38.78,51.71,53.56,27.70,27.70,27.70,60.94,60.94,60.94,43.84,48.46,35.09,38.78,51.71,25.99,25.99,42.24,46.68,62.24,64.47,34.20,34.20,34.20
Malformed Claws,17.67,19.53,26.04,26.97,13.95,13.95,13.95,30.69,30.69,30.69,22.08,24.40,32.55,33.70,17.43,17.43,17.43,38.35,38.35,38.35,24.74,27.34,36.46,37.76,19.53,19.53,19.53,42.97,42.97,42.97,17.67,19.53,26.04,26.97,13.95,13.95,13.95,30.69,30.69,30.69,19.08,21.09,28.12,29.13,15.07,15.07,15.07,33.15,33.15,33.15,23.85,26.36,19.08,21.09,28.12,14.14,14.14,22.97,25.39,33.85,35.06,18.60,18.60,18.60
Malformed Shell,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,38.22,42.25,56.35,58.35,30.17,30.17,30.17,66.40,66.40,66.40,42.83,47.33,63.11,65.37,33.81,33.81,33.81,74.38,74.38,74.38,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,33.04,36.51,48.69,50.43,26.08,26.08,26.08,57.38,57.38,57.38,41.28,45.63,33.04,36.51,48.69,24.47,24.47,39.77,43.95,58.60,60.70,32.20,32.20,32.20
Malformed Skull,29.74,32.87,43.82,45.39,23.48,23.48,23.48,51.65,51.65,51.65,37.15,41.07,54.78,56.72,29.33,29.33,29.33,64.54,64.54,64.54,41.63,46.01,61.35,63.54,32.87,32.87,32.87,72.30,72.30,72.30,29.74,32.87,43.82,45.39,23.48,23.48,23.48,51.65,51.65,51.65,32.11,35.49,47.33,49.02,25.35,25.35,25.35,55.78,55.78,55.78,40.13,44.35,32.11,35.49,47.33,23.79,23.79,38.66,42.72,56.97,59.00,31.30,31.30,31.30
Manikin Claws,14.92,16.49,21.98,22.77,11.78,11.78,11.78,25.91,25.91,25.91,18.64,20.60,27.48,28.45,14.71,14.71,14.71,32.37,32.37,32.37,20.88,23.08,30.77,31.87,16.49,16.49,16.49,36.27,36.27,36.27,14.92,16.49,21.98,22.77,11.78,11.78,11.78,25.91,25.91,25.91,16.11,17.80,23.74,24.59,12.72,12.72,12.72,27.98,27.98,27.98,20.13,22.25,16.11,17.80,23.74,11.93,11.93,19.39,21.43,28.57,29.59,15.70,15.70,15.70
Manikin Knife,14.73,16.28,21.70,22.48,11.63,11.63,11.63,25.58,25.58,25.58,18.40,20.34,27.13,28.09,14.52,14.52,14.52,31.96,31.96,31.96,20.62,22.79,30.38,31.47,16.28,16.28,16.28,35.81,35.81,35.81,14.73,16.28,21.70,22.48,11.63,11.63,11.63,25.58,25.58,25.58,15.90,17.58,23.44,24.27,12.56,12.56,12.56,27.62,27.62,27.62,19.87,21.96,15.90,17.58,23.44,11.78,11.78,19.14,21.16,28.21,29.22,15.50,15.50,15.50
Manikin Sabre,18.81,20.79,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,23.50,25.98,34.65,35.88,18.55,18.55,18.55,40.83,40.83,40.83,26.33,29.11,38.81,40.19,20.79,20.79,20.79,45.74,45.74,45.74,18.81,20.79,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,20.31,22.45,29.94,31.01,16.04,16.04,16.04,35.28,35.28,35.28,25.38,28.06,20.31,22.45,29.94,15.05,15.05,24.45,27.03,36.04,37.32,19.80,19.80,19.80
Manikin Shield,15.96,17.64,23.52,24.36,12.60,12.60,12.60,27.72,27.72,27.72,19.94,22.04,29.40,30.44,15.74,15.74,15.74,34.64,34.64,34.64,22.34,24.70,32.93,34.10,17.64,17.64,17.64,38.81,38.81,38.81,15.96,17.64,23.52,24.36,12.60,12.60,12.60,27.72,27.72,27.72,17.24,19.05,25.40,26.31,13.61,13.61,13.61,29.94,29.94,29.94,21.54,23.81,17.24,19.05,25.40,12.77,12.77,20.75,22.93,30.58,31.67,16.80,16.80,16.80
Manslayer,21.47,23.73,31.64,32.77,16.95,16.95,16.95,37.29,37.29,37.29,26.83,29.65,39.55,40.95,21.18,21.18,21.18,46.60,46.60,46.60,30.06,33.22,44.30,45.88,23.73,23.73,23.73,52.21,52.21,52.21,21.47,23.73,31.64,32.77,16.95,16.95,16.95,37.29,37.29,37.29,23.19,25.63,34.17,35.39,18.31,18.31,18.31,40.27,40.27,40.27,28.97,32.02,23.19,25.63,34.17,17.18,17.18,27.91,30.85,41.13,42.60,22.60,22.60,22.60
Mastodon Greatshield,28.22,31.19,41.58,43.07,22.28,22.28,22.28,49.01,49.01,49.01,35.25,38.97,51.98,53.82,27.83,27.83,27.83,61.24,61.24,61.24,39.50,43.66,58.21,60.29,31.19,31.19,31.19,68.61,68.61,68.61,28.22,31.19,41.58,43.07,22.28,22.28,22.28,49.01,49.01,49.01,30.47,33.68,44.91,46.51,24.06,24.06,24.06,52.93,52.93,52.93,38.08,42.08,30.47,33.68,44.91,22.57,22.57,36.68,40.54,54.05,55.98,29.70,29.70,29.70
Mastodon Greatsword,32.59,36.02,48.02,49.74,25.73,25.73,25.73,56.60,56.60,56.60,40.71,45.00,60.03,62.15,32.14,32.14,32.14,70.73,70.73,70.73,45.62,50.42,67.23,69.63,36.02,36.02,36.02,79.23,79.23,79.23,32.59,36.02,48.02,49.74,25.73,25.73,25.73,56.60,56.60,56.60,35.19,38.90,51.86,53.71,27.78,27.78,27.78,61.12,61.12,61.12,43.97,48.60,35.19,38.90,51.86,26.07,26.07,42.36,46.82,62.43,64.66,34.30,34.30,34.30
Mastodon Halberd,30.78,34.02,45.36,46.98,24.30,24.30,24.30,53.46,53.46,53.46,38.46,42.51,56.70,58.71,30.36,30.36,30.36,66.81,66.81,66.81,43.09,47.63,63.50,65.77,34.02,34.02,34.02,74.84,74.84,74.84,30.78,34.02,45.36,46.98,24.30,24.30,24.30,53.46,53.46,53.46,33.24,36.74,48.99,50.74,26.24,26.24,26.24,57.74,57.74,57.74,41.54,45.91,33.24,36.74,48.99,24.62,24.62,40.01,44.23,58.97,61.07,32.40,32.40,32.40
Melu Scimitar,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,24.93,27.55,36.75,38.05,19.68,19.68,19.68,43.30,43.30,43.30,27.93,30.87,41.16,42.63,22.05,22.05,22.05,48.51,48.51,48.51,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,21.55,23.81,31.75,32.89,17.01,17.01,17.01,37.42,37.42,37.42,26.92,29.76,21.55,23.81,31.75,15.96,15.96,25.94,28.67,38.22,39.59,21.00,21.00,21.00
